Station,Section,Url,Page Range,Text Identifier,Status
I,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,196-197,Station I.,exists
Ia,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,197-200,Stations IA. to IC.,exists
Ib,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,197-200,Stations IA. to IC.,exists
Ic,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,197-200,Stations IA. to IC.,exists
Id,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,200,Station ID.,exists
II,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,200-206,Stations II. and IIA.,exists
II a,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,200-206,Stations II. and IIA.,exists
II b,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II c,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II d,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II e,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II f,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II g,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II h,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.,exists
II j,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,207,Stations IIJ. and IIK.,exists
II k,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,207,Stations IIJ. and IIK.,exists
III,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,207-208,Station III.,exists
IV,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,208-210,Station IV.,exists
V,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,210-212,Station V.,exists
V a,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,212,Station VA.,exists
VI,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,212-213,Station VI.,exists
VII,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,213-214,Station VII.,exists
VII a,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214,Station VIIA.,exists
VII b,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.,exists
VII c,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.,exists
VII d,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.,exists
VII e,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.,exists
VII f,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.,exists
VII g,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Stations VIIG. to VIIJ,exists
VII h,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Stations VIIG. to VIIJ,exists
VII j,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Stations VIIG. to VIIJ,exists
VII k,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Station VIIK.,exists
VII l,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII m,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII n,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII o,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII p,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII q,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII r,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII s,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.,exists
VII t,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224,Stations VIIT. to VIIV.,exists
VII u,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224,Stations VIIT. to VIIV.,exists
VII v,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224,Stations VIIT. to VIIV.,exists
VIII,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224-229,Stations VIII.,exists
1,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,229-232,Station 1,exists
2,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,232-238,Station 2,exists
3,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,239-241,Station 3,exists
4,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,242,Station 4,exists
5,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,243-244,Station 5,exists
6,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,244-245,Station 6,exists
7,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,245,Station 7,exists
8,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,245,Station 8,exists
