ID,Date,Station,Vol,Taxa,PageNumber,Genus,Species,Tax auth,Area,No Specimens,Notes,depth (fathoms),lat,long,Expedition if not challenger
1,30/12/1872,I,Summary,Asteroidea,,Hymenaster,membranaceus,Wyville Thomson,,,,,,,
2,30/12/1872,I,summary,Amphipoda,,platamon,longimanus,,,,,,,,
3,30/12/1872,I,summary,Pelagic Fishes,,Argyropelecus,olfersii,Cuvier,,,,,,,
4,30/12/1872,I,summary,,,Astropecten,sp.,,,,,,,,
5,13/1/1873,II-IIa,summary,Tetractinellida,,corallistes,bowerbanki,Johnson,,,,,,,
6,13/1/1873,II-IIa,summary,Asteroidea,,pararchaster,armatus,,,,,,,,
7,13/1/1873,II-IIa,summary,Asteroidea,,plutonaster,bifrons,,,,,,,,
8,15/1/1873,III,summary,Corals,,Flabellum,apertum,,,,,,,,
9,16/1/1873,IV,summary,Tetractinellida,,Thenea,Schmidtii,,,,,,,,
10,16/1/1873,IV,summary,Alcyonaria,,Strophogorgia,challengeri,,,,,,,,
11,16/1/1873,IV,summary,Pelagic Fishes,,Macrurus,aequalis,,,,,,,,
12,16/1/1873,IV,summary,Corals,,Mopsea,,,,,,,,,
13,16/1/1873,IV,summary,Actinian,,Astrogonium ,longimanum,,,,,,,,
14,28/1/1873,V,summary,Asteroidea,,Plutonaster,bifrons,Wyville Thomson,,,,,,,
15,28/1/1873,V,summary,Amphipoda,,Cystisoma,spinosum (Fabricus),,,,,,,,
16,28/1/1873,V,summary,Pelagic Fishes,,Macrurus,sclerorhynchus,Valenciennes,,,,,,,
17,28/1/1873,V,summary,Pelagic Fishes,,Bathytroctes,mictrolepis,,,,,,,,
18,28/1/1873,V,summary,Pelagic Fishes,,Halosaurus,macrochir,,,,,,,,
19,30/1/1873,VI,summary,Polyzoa,,Kinetoskias,cyathus,Wyville Thomson,,,,,,,
20,3/2/1873,VIIg-VIIj,summary,Anomura,,Eupagurus,exaecatus,Herbst,,,,,,,
21,10/2/1873,VIIP,summary,Anomura,,Pagurus,calidus,Risso,,,,,,,
22,10/2/1873,VIIP,summary,Anomura,,Spiropagurus,elegans,Miers,,,,,,,
23,10/2/1873,VIIP,summary,Anomura,,Anapagurus,pusillus,,,,,,,,
24,10/2/1873,VIIP,summary,Anomura,,Galathea,dispersa,Spence Bate,,,,,,,
25,12/2/1873,VIII,summary,Tunicata,,Ciona,flemingi,,Canary Islands,,,75-78 Fathoms,,,
26,18/2/1873,3,summary,Alcyonaria,,Anthomastus,canariensis,Wyville Thomson,,,,,,,
27,18/2/1873,3,summary,Alcyonaria,,Pleurocorallium,johnsoni,Gray,,,,,,,
28,18/2/1873,3,summary,Alcyonaria,,Acanella,arbuscula,Johnson,,,,,,,
29,18/2/1873,3,summary,Corals,,Crypthelia,pudica,M. Edwards and Haime,,,,,,,
30,18/2/1873,3,summary,Corals,,Caryophyllia,berteriana,Duchassaing,,,,,,,
31,18/2/1873,3,summary,Asteroidea,,Nymphaster,protentus,,,,,,,,
32,18/2/1873,3,summary,Asteroidea,,Colpaster,scutigerula,,,,,,,,
33,18/2/1873,3,summary,Polyzoa,,Bugula,leontodon,,,,,,,,
34,4/3/1873,13,summary,Polyzoa,,Farciminaria,delicatissima,,,,,,,,
35,4/3/1873,13,summary,Polyzoa,,Bifaxaria,reticulata,,,,,,,,
36,4/3/1873,13,summary,Polyzoa,,Salicornaria,magnifica,,,,,,,,
37,4/3/1873,13,summary,Polyzoa,,Tessaradoma,boreale,busk,,,,,,,
38,5/3/1873,14,summary,Polyzoa,,Farciminaria,delicatissima,,,,,,,,
39,18/2/1873,3,summary,Amphipoda,,Phronimella,elongata,Claus,,,Surface,,,,
40,4/3/1873,13,summary,Pelagic Fishes,,Leptocephalus,pellucidus,,,,surface,,,,
41,14/3/1873,22,summary,Amphipoda,,Anchylomera,sp.,,,,surface,,,,
