ID,Date,Station,Vol,Taxa,PageNumber,Genus,Species,Tax auth,Area,No Specimens,Notes,depth (fathoms),lat,long,Expedition if not challenger,WoRMS ID,WoRMS Taxa
1,30/12/1872,I,Summary,Asteroidea,,Hymenaster,membranaceus,Wyville Thomson,,,,,,,,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
2,30/12/1872,I,summary,Amphipoda,,Platamon,longimanus,,,,,,,,,urn:lsid:marinespecies.org:taxname:1329448,Arthropoda
3,30/12/1872,I,summary,Pelagic Fishes,,Argyropelecus,olfersii,Cuvier,,,,,,,,urn:lsid:marinespecies.org:taxname:274967,Chordata
4,30/12/1872,I,summary,,,Astropecten,sp.,,,,,,,,,urn:lsid:marinespecies.org:taxname:123245,Echinodermata
5,13/1/1873,II-IIa,summary,Tetractinellida,,Corallistes,bowerbanki,Johnson,,,,,,,,urn:lsid:marinespecies.org:taxname:171067,Porifera
6,13/1/1873,II-IIa,summary,Asteroidea,,Pararchaster,armatus,,,,,,,,,urn:lsid:marinespecies.org:taxname:123841,Echinodermata
7,13/1/1873,II-IIa,summary,Asteroidea,,Plutonaster,bifrons,,,,,,,,,urn:lsid:marinespecies.org:taxname:123904,Echinodermata
8,15/1/1873,III,summary,Corals,,Flabellum,apertum,,,,,,,,,urn:lsid:marinespecies.org:taxname:346424,Cnidaria
9,16/1/1873,IV,summary,Tetractinellida,,Thenea,Schmidtii,,,,,,,,,urn:lsid:marinespecies.org:taxname:132019,Porifera
10,16/1/1873,IV,summary,Alcyonaria,,Strophogorgia,challengeri,,,,,,,,,urn:lsid:marinespecies.org:taxname:1457652,Cnidaria
11,16/1/1873,IV,summary,Pelagic Fishes,,Macrurus,aequalis,,,,,,,,,urn:lsid:marinespecies.org:taxname:319030,Chordata
12,16/1/1873,IV,summary,Corals,,Mopsea,,,,,,,,,,urn:lsid:marinespecies.org:taxname:173328,Cnidaria
13,16/1/1873,IV,summary,Actinian,,Astrogonium,longimanum,,,,,,,,,urn:lsid:marinespecies.org:taxname:816933,Echinodermata
14,28/1/1873,V,summary,Asteroidea,,Plutonaster,bifrons,Wyville Thomson,,,,,,,,urn:lsid:marinespecies.org:taxname:123904,Echinodermata
15,28/1/1873,V,summary,Amphipoda,,Cystisoma,spinosum (Fabricus),,,,,,,,,urn:lsid:marinespecies.org:taxname:103247,Arthropoda
16,28/1/1873,V,summary,Pelagic Fishes,,Macrurus,sclerorhynchus,Valenciennes,,,,,,,,urn:lsid:marinespecies.org:taxname:301026,Chordata
17,28/1/1873,V,summary,Pelagic Fishes,,Bathytroctes,mictrolepis,,,,,,,,,urn:lsid:marinespecies.org:taxname:126693,Chordata
18,28/1/1873,V,summary,Pelagic Fishes,,Halosaurus,macrochir,,,,,,,,,urn:lsid:marinespecies.org:taxname:301675,Chordata
19,30/1/1873,VI,summary,Polyzoa,,Kinetoskias,cyathus,Wyville Thomson,,,,,,,,urn:lsid:marinespecies.org:taxname:183226,Bryozoa
20,3/2/1873,VIIg-VIIj,summary,Anomura,,Eupagurus,exaecatus,Herbst,,,,,,,,urn:lsid:marinespecies.org:taxname:147466,Arthropoda
21,10/2/1873,VIIP,summary,Anomura,,Pagurus,calidus,Risso,,,,,,,,urn:lsid:marinespecies.org:taxname:412308,Arthropoda
22,10/2/1873,VIIP,summary,Anomura,,Spiropagurus,elegans,Miers,,,,,,,,urn:lsid:marinespecies.org:taxname:107242,Arthropoda
23,10/2/1873,VIIP,summary,Anomura,,Anapagurus,pusillus,,,,,,,,,urn:lsid:marinespecies.org:taxname:107221,Arthropoda
24,10/2/1873,VIIP,summary,Anomura,,Galathea,dispersa,Spence Bate,,,,,,,,urn:lsid:marinespecies.org:taxname:107148,Arthropoda
25,12/2/1873,VIII,summary,Tunicata,,Ciona,flemingi,,Canary Islands,,,75-78 Fathoms,,,,urn:lsid:marinespecies.org:taxname:252561,Chordata
26,18/2/1873,3,summary,Alcyonaria,,Anthomastus,canariensis,Wyville Thomson,,,,,,,,urn:lsid:marinespecies.org:taxname:286012,Cnidaria
27,18/2/1873,3,summary,Alcyonaria,,Pleurocorallium,johnsoni,Gray,,,,,,,,urn:lsid:marinespecies.org:taxname:1311281,Cnidaria
28,18/2/1873,3,summary,Alcyonaria,,Acanella,arbuscula,Johnson,,,,,,,,urn:lsid:marinespecies.org:taxname:125371,Cnidaria
29,18/2/1873,3,summary,Corals,,Crypthelia,pudica,M. Edwards and Haime,,,,,,,,urn:lsid:marinespecies.org:taxname:285794,Cnidaria
30,18/2/1873,3,summary,Corals,,Caryophyllia,berteriana,Duchassaing,,,,,,,,urn:lsid:marinespecies.org:taxname:286731,Cnidaria
31,18/2/1873,3,summary,Asteroidea,,Nymphaster,protentus,,,,,,,,,urn:lsid:marinespecies.org:taxname:124050,Echinodermata
