Date,Station,Stations Group,Vol,Taxa,Genus,Species,Tax auth,Area,Notes,depth (fathoms)
30/12/1872,I,I,summary,Asteroidea,Hymenaster,membranaceus,Wyville Thomson,,,
30/12/1872,I,I,summary,Amphipoda,Platamon,longimanus,,,,
30/12/1872,I,I,summary,Pelagic fishes,Argyropelecus,olfersii,Cuvier,,,
30/12/1872,I,I,summary,,Astropecten,sp.,,,,
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Tetractinellida,Corallistes,bowerbanki,Johnson,,,
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Asteroidea,Pararchaster,armatus,,,,
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Asteroidea,Plutonaster,bifrons,,,,
15/1/1873,III,III,summary,Corals,Flabellum,apertum,,,,
16/1/1873,IV,IV,summary,Tetractinellida,Thenea,schmidtii,,,,
16/1/1873,IV,IV,summary,Alcyonaria,Strophogorgia,challengeri,,,,
16/1/1873,IV,IV,summary,Pelagic fishes,Macrurus,aequalis,,,,
16/1/1873,IV,IV,summary,Corals,Mopsea,,,,,
16/1/1873,IV,IV,summary,Actinian,Astrogonium ,longimanum,,,,
28/1/1873,V,V,summary,Asteroidea,Plutonaster,bifrons,Wyville Thomson,,,
28/1/1873,V,V,summary,Amphipoda,Cystisoma,spinosum (fabricus),,,,
28/1/1873,V,V,summary,Pelagic fishes,Macrurus,sclerorhynchus,Valenciennes,,,
28/1/1873,V,V,summary,Pelagic fishes,Bathytroctes,mictrolepis,,,,
28/1/1873,V,V,summary,Pelagic fishes,Halosaurus,macrochir,,,,
30/1/1873,VI,V,summary,Polyzoa,Kinetoskias,cyathus,Wyville Thomson,,,
3/2/1873,VIIg-VIIj,"VIIg,VIIh,VIIj",summary,Anomura,Eupagurus,exaecatus,Herbst,,,
10/2/1873,VIIp,"VIIl,VIIm,VIIn,VIIo,VIIp,VIIq,VIIr,VIIs",summary,Anomura,Pagurus,calidus,Risso,,,
10/2/1873,VIIp,"VIIl,VIIm,VIIn,VIIo,VIIp,VIIq,VIIr,VIIs",summary,Anomura,Spiropagurus,elegans,Miers,,,
10/2/1873,VIIp,"VIIl,VIIm,VIIn,VIIo,VIIp,VIIq,VIIr,VIIs",summary,Anomura,Anapagurus,pusillus,,,,
10/2/1873,VIIp,"VIIl,VIIm,VIIn,VIIo,VIIp,VIIq,VIIr,VIIs",summary,Anomura,Galathea,dispersa,Spence Bate,,,
12/2/1873,VIII,VIII,summary,Tunicata,Ciona,flemingi,,Canary Islands,,75-78 Fathoms
18/2/1873,3,3,summary,Alcyonaria,Anthomastus,canariensis,Wyville Thomson,,,
18/2/1873,3,3,summary,Alcyonaria,Pleurocorallium,johnsoni,Gray,,,
18/2/1873,3,3,summary,Alcyonaria,Acanella,arbuscula,Johnson,,,
18/2/1873,3,3,summary,Corals,Crypthelia,pudica,M. Edwards and Haime,,,
18/2/1873,3,3,summary,Corals,Caryophyllia,berteriana,Duchassaing,,,
18/2/1873,3,3,summary,Asteroidea,Nymphaster,protentus,,,,
18/2/1873,3,3,summary,Asteroidea,Colpaster,scutigerula,,,,
18/2/1873,3,3,summary,Polyzoa,Bugula,leontodon,,,,
18/2/1873,3,3,summary,Amphipoda,Phronimella,elongata,Claus,,Surface,
4/3/1873,13,13,summary,Polyzoa,Farciminaria,delicatissima,,,,
4/3/1873,13,13,summary,Polyzoa,Bifaxaria,reticulata,,,,
4/3/1873,13,13,summary,Polyzoa,Salicornaria,magnifica,,,,
4/3/1873,13,13,summary,Polyzoa,Tessaradoma,boreale,busk,,,
4/3/1873,13,13,summary,Pelagic fishes,Leptocephalus,pellucidus,,,surface,
5/3/1873,14,14,summary,Polyzoa,Farciminaria,delicatissima,,,,
14/3/1873,22,22,summary,Amphipoda,Anchylomera,sp.,,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Xiphias,gladius,Linne,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Cubiceps,gracilis,Lowe,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Psenes,cyanophrys,C.V,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Antennarius,marmoratus,Gunther,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Scopelus,coccoi,cocco,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Fundulus,nigrofasciatus,Lesueur,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Hemorhamphis ,sp.,,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Muraena,sp.,,,surface,
14/3/1873,22,22,summary,Pelagic fishes,Tetrodon,sp.,,,surface,
15/3/1873,23-23b,"23,23A,23B",summary,Alcyonaria,Clavularia,tubaria,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Alcyonaria,Acanella,eburnea,Pourtales,,,
15/3/1873,23-23b,"23,23A,23B",summary,Alcyonaria,Primnoella,distans,Studer,,,
15/3/1873,23-23b,"23,23A,23B",summary,Alcyonaria,Juncella,barbadensis,Duchassaing and Michelotti,,,
15/3/1873,23-23b,"23,23A,23B",summary,Corals,Plioborhrus,symmetricus,Pourtales,,,
15/3/1873,23-23b,"23,23A,23B",summary,Corals,Stenohelia,profunda,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Corals,Lophohelia,prolifera,M. Edwards and Haime,,,
15/3/1873,23-23b,"23,23A,23B",summary,Anomura,Munida,sp.,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Anomura,Munidopsis,sigbei,M. Edwards,,,
15/3/1873,23-23b,"23,23A,23B",summary,Anomura,Elasmonotus,armatus,M. Edwards,,,
15/3/1873,23-23b,"23,23A,23B",summary,Anomura,Uroptychus,nitidus,M. Edwards,,,
15/3/1873,23-23b,"23,23A,23B",summary,Polyzoa,Pasythea,eburnea,Smitt,,,
15/3/1873,23-23b,"23,23A,23B",summary,Polyzoa,Brettia,cornigera,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Polyzoa,Bugula ,veriscolor,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Polyzoa,Farciminaria,atlantica,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Polyzoa,Tessaradoma,boreale,Busk,,,
15/3/1873,23-23b,"23,23A,23B",summary,Polyzoa,Porina,proboscidea,Waters,,,
15/3/1873,23-23b,"23,23A,23B",summary,Pelagic fishes,Gonostoma,microdon,,,,
15/3/1873,23-23b,"23,23A,23B",summary,Pelagic fishes,Stomias,affinis,,,,
24/3/1873,,,summary,Pelagic fishes,Echeneis,remora,Linne,,Surface,
24/3/1873,,,summary,Reef corals,Oculina ,diffusa,Lamark,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Cladocora,arbuscula,Lesueur,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Pectinia,profunda,Dana,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Isophyllia,aspera,Duchassaing and Michelotti,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Manicina,areolata,Linne,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Agaricia,fragilis,Dana,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Madrepora,palmata,Lamark,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Madrepora,prolifera,Lamark,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Madrepora,cervicornis,Lamark,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Agaricia,frondosa,Duchassaing,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Porites,astraeoides,Lamark,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Millepora ,alcicornis,Linne,St. Thomas,shallow,
24/3/1873,,,summary,Reef corals,Millepora ,carthaginiensis,Duchassaing and Michelotti,St. Thomas,shallow,
24/3/1873,,,summary,Anomura,Hypoconcha,sabulosa,Herbst,St. Thomas,shallow,
24/3/1873,,,summary,Anomura,Porcellana,sayana,Leach,St. Thomas,shallow,
24/3/1873,,,summary,Pelagic fishes,Serranus,apua,BL,St. Thomas,shallow,
24/3/1873,,,summary,Pelagic fishes,Mesoprion,chrysurus,BL,St. Thomas,shallow,
24/3/1873,,,summary,Pelagic fishes,Pomacanthus,para,BL,St. Thomas,shallow,
24/3/1873,,,summary,Pelagic fishes,Scorpaena,plumieri,BL,St. Thomas,shallow,
24/3/1873,,,summary,Pelagic fishes,Holocentrum,longipinne,C.V,St. Thomas,shallow,
24/3/1873,,,summary,Pelagic fishes,Echeneis,naucrates,Linne,St. Thomas,shallow,
25/3/1873,24,24,summary,Tetractinellida,Craniella,schmidtii,,,,
25/3/1873,24,24,summary,Tetractinellida,Thenea,schmidtii,,,,
25/3/1873,24,24,summary,Corals,Cryptohelia,pudica,M. Edwards and Haime,,,
25/3/1873,24,24,summary,Corals,Caryophyllia,paucipalata,,,,
25/3/1873,24,24,summary,Corals,Deliocyathus,italieus,M. Edwards and Haime,,,
25/3/1873,24,24,summary,Corals,Odontocyathus,coronatus,Pourtales,,,
25/3/1873,24,24,summary,Corals,Desmophyllum,cailleti,Duchassaing and Michelotti,,,
25/3/1873,24,24,summary,Corals,Lophohelia,prolifera,M. Edwards and Haime,,,
25/3/1873,24,24,summary,Corals,Bathyactis,symmetrica,Pourtales,,,
25/3/1873,24,24,summary,Crinoidea,Rhizocrinus,lofotensis,Sars,,,
25/3/1873,24,24,summary,Asteroidea,Brisinga,cricophora,,,,
25/3/1873,24,24,summary,Amphipoda,Syrrhoe ,papyracea,,,,
25/3/1873,24,24,summary,Amphipoda,Ampelisca,abyssicola,,,,
25/3/1873,24,24,summary,Anomura,Porcellana,robertsoni,,,,
25/3/1873,24,24,summary,Anomura,Munida,microphthalma,M. Edwards,,,
25/3/1873,24,24,summary,Anomura,Elasmonotus,armatus,M. Edwards,,,
25/3/1873,24,24,summary,Anomura,Uroptychus,nitidus,M. Edwards,,,
25/3/1873,24,24,summary,Polyzoa,Pasythea,eburnea,Smitt,,,
25/3/1873,24,24,summary,Polyzoa,Farciminaria,atlantica,,,,
1/4/1873,30,30,summary,Pelagic fishes,Psenes,cyanophrys,C.V,,Surface,
1/4/1873,30,30,summary,Pelagic fishes,Antennarius,marmoratus,Gunther,,Surface,
1/4/1873,30,30,summary,Pelagic fishes,Exocoetus,spilurus,Gunther,,Surface,
1/4/1873,30,30,summary,Pelagic fishes,Exocoetus,affinis,Gunther,,Surface,
1/4/1873,30,30,summary,Pelagic fishes,Syngnathus ,pelagicus,Osbeck,,Surface,
23/4/1873,36,36,summary,Corals,Madracis,asperula,M. Edwards and Haime,,,
23/4/1873,36,36,summary,Corals,Bathyactis,symmetrica,Pourtales,,,
23/4/1873,36,36,summary,Asteroidea,Chaetaster,longipes,Sars,,,
23/4/1873,36,36,summary,Polyzoa,Etea,anguina,Linne,,,
23/4/1873,36,36,summary,Polyzoa,Bugula,neritina,Linne,,,
23/4/1873,36,36,summary,Polyzoa,Crisia,denticulata,Lamarck,,,
23/4/1873,36,36,summary,Polyzoa,Amathia,lengigera,Linne,,,
28/4/1873,40,40,summary,Pelagic fishes,Nealotus,tripes,Johnson,,,
28/4/1873,40,40,summary,Pelagic fishes,Gonostoma,microdon,,,,
2/5/1873,44,44,summary,Asteroidea,Pararchaster,semisquamatus,,,,
2/5/1873,44,44,summary,Asteroidea,Pontaster,forcupatus,,,,
2/5/1873,44,44,summary,Asteroidea,Dyaster,exilis,,,,
2/5/1873,44,44,summary,Asteroidea,Dyaster,madreporifer,,,,
2/5/1873,44,44,summary,Asteroidea,Plutonaster,rigidus,,,,
2/5/1873,44,44,summary,Asteroidea,Phoxaster,pumilus,,,,
2/5/1873,44,44,summary,Polyzoa,Canda,simplex,,,,
2/5/1873,44,44,summary,Tunicata,Culeolus,perlatus,Willemoes-Suhm,,,
3/5/1873,45,45,summary,Corals,Caryophyllia,communis,Seguenza,,,
3/5/1873,45,45,summary,Asteroidea,Pararchaster,semisquamatus,,,,
3/5/1873,45,45,summary,Asteroidea,Pontaster,forcipatus,,,,
3/5/1873,45,45,summary,Asteroidea,Dytaster,madreporifer,,,,
3/5/1873,45,45,summary,Asteroidea,Plutonaster,rigidus ,,,,
3/5/1873,45,45,summary,Asteroidea,Porcellanaster,caeruleus,Wyville Thomson,,,
3/5/1873,45,45,summary,Asteroidea,Phoxaster,pumilus,,,,
6/5/1873,46,46,summary,Actiniaria,Stephanactis,abyssicola,Mosely,,,
6/5/1873,46,46,summary,Asteroidea,Pararchaster,armatus,,,,
6/5/1873,46,46,summary,Asteroidea,Pontaster,forcipatus,,,,
6/5/1873,46,46,summary,Asteroidea,Plutonaster,rigidus,,,,
6/5/1873,46,46,summary,Asteroidea,Porcellanaster,caeruleus,Wyville Thomson,,,
6/5/1873,46,46,summary,Asteroidea,Leptocephalus,arcticus,Sars,,,
6/5/1873,46,46,summary,Asteroidea,Phoxaster,pumilus,,,,
6/5/1873,46,46,summary,Asteroidea,Zoroaster,fulgens,Wyville Thomson,,,
6/5/1873,46,46,summary,Asteroidea,Cribrella,oculata,Sars,,,
6/5/1873,46,46,summary,Asteroidea,Brisinga,verticillata,,,,
6/5/1873,46,46,summary,Asteroidea,Freyella,bracteata,,,,
6/5/1873,46,46,summary,Amphipoda,Euthemista,bispoinosa,Boeck,,,
7/5/1873,47,47,summary,Asteroidea,Plutonaster,bifrons,,,,
7/5/1873,47,47,summary,Asteroidea,Plutonaster,rigidus,,,,
7/5/1873,47,47,summary,Asteroidea,Porcellonaster,caeruleus,,,,
7/5/1873,47,47,summary,Asteroidea,Freyella,bracteata,,,,
8/5/1873,48,48,summary,Crinoidea,Antedon,eschrichti,Muller,,,
8/5/1873,48,48,summary,Crinoidea,Antedon,quadrata,,,,
8/5/1873,48,48,summary,Asteroidea,Crossaster,papposus,Linck,,,
8/5/1873,48,48,summary,Asteroidea,Solaster ,endeca,Retzius,,,
8/5/1873,48,48,summary,Asteroidea,Cribrella,oculata,Linck,,,
8/5/1873,48,48,summary,Polyzoa,Eschara,elegantula,d'Orbigny,,,
8/5/1873,48,48,summary,Polyzoa,Cellepora,canaliculata,,,,
8/5/1873,48,48,summary,Tunicata,Boltenia,elegans,,,,
8/5/1873,48,48,summary,Tunicata,Aplidium,despectum,,,,
20/5/1873,49,49,summary,Keretosa,Psammopemma,densum,Marshall,,,
20/5/1873,49,49,summary,Actiniaria,Epizoanthus,cancrisocius,Studer,,,
20/5/1873,49,49,summary,Asteroidea,Pontaster ,hebitus,,,,
20/5/1873,49,49,summary,Asteroidea,Pseudarchaster,intermedius,,,,
20/5/1873,49,49,summary,Asteroidea,Leptoptychaster,arcticus,Sars,,,
20/5/1873,49,49,summary,Asteroidea,Pentagonaster,granularis,Retzius,,,
20/5/1873,49,49,summary,Asteroidea,Hippasteria,plana,Linck,,,
20/5/1873,49,49,summary,Asteroidea,Stichaster,albulus,Stimpson,,,
20/5/1873,49,49,summary,Asteroidea,Pteraster,militaris,Muller and Troschel,,,
20/5/1873,49,49,summary,Asteroidea,Cribella,oculata,Linck,,,
20/5/1873,49,49,summary,Asteroidea,Asterias (leptasterias),compta,Stimpson,,,
20/5/1873,49,49,summary,Amphipoda,Stegocephalus,inflatus,Kroyer,,,
20/5/1873,49,49,summary,Amphipoda,Ediceros,lynceus,Sars,,,
20/5/1873,49,49,summary,Amphipoda,Pleustes,panopla,Kroyer,,,
20/5/1873,49,49,summary,Amphipoda,Epimera,loricata,Sars,,,
20/5/1873,49,49,summary,Amphipoda,Halirages,fulvocinctus,Sars,,,
20/5/1873,49,49,summary,Amphipoda,Rhachotropis,aculeatus,Lepechin,,,
20/5/1873,49,49,summary,Amphipoda,Pardalisca,abyssi ,Boeck,,,
20/5/1873,49,49,summary,Amphipoda,Uncoila,irrorata,Say,,,
20/5/1873,49,49,summary,Anomura,Eupagurus,pubescens,Kroyer,,,
20/5/1873,49,49,summary,Polyzoa,Palmicellaria,skenei,Ellis and Solander,,,
20/5/1873,49,49,summary,Polyzoa,Flustra,separata,,,,
20/5/1873,49,49,summary,Polyzoa,Idmonea,atlantica,Forbes,,,
20/5/1873,49,49,summary,Tunicata,Ascidia,falcigera,,,,
