Date,Station,Stations Group,Vol,Taxa,Genus,Species,Tax auth,Area,Notes,depth (fathoms),Source,WoRMS ID,WoRMS Taxa
30/12/1872,I,I,summary,Asteroidea,Hymenaster,membranaceus,Wyville Thomson,,,,Plymouth,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Amphipoda,Platamon,longimanus,,,,,Plymouth,urn:lsid:marinespecies.org:taxname:1329448,Arthropoda
30/12/1872,I,I,summary,Pelagic fishes,Argyropelecus,olfersii,Cuvier,,,,Plymouth,urn:lsid:marinespecies.org:taxname:274967,Chordata
30/12/1872,I,I,summary,,Astropecten,sp.,,,,,Plymouth,urn:lsid:marinespecies.org:taxname:123245,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Ophiuroidea,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Ophioglypha,lepida,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Argyropelecus,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Astropecten,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Ophiuroidea,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Eteone,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Pteropoda,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Protozoa,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Eteone,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Eteone,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Diphyes,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Amphipoda,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Diacria,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
30/12/1872,I,I,summary,Asteroidea,Cavolinia,membranaceus,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:124134,Echinodermata
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Tetractinellida,Corallistes,bowerbanki,Johnson,,,,Plymouth,urn:lsid:marinespecies.org:taxname:171067,Porifera
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Asteroidea,Pararchaster,armatus,,,,,Plymouth,urn:lsid:marinespecies.org:taxname:123841,Echinodermata
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Asteroidea,Plutonaster,bifrons,,,,,Plymouth,urn:lsid:marinespecies.org:taxname:123904,Echinodermata
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Tetractinellida,Crustacea,bowerbanki,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:171067,Porifera
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Tetractinellida,Pteropoda,bowerbanki,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:171067,Porifera
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Tetractinellida,Crustacea,bowerbanki,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:171067,Porifera
13/1/1873,II-IIa,"Ia,Ib,Ic",summary,Tetractinellida,Pteropoda,bowerbanki,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:171067,Porifera
15/1/1873,III,III,summary,Corals,Flabellum,apertum,,,,,Plymouth,urn:lsid:marinespecies.org:taxname:346424,Cnidaria
15/1/1873,III,III,summary,Corals,Annelida,apertum,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:346424,Cnidaria
15/1/1873,III,III,summary,Corals,Nothria,conchylega,,,,,Oceans1876,urn:lsid:marinespecies.org:taxname:346424,Cnidaria
