station,hathitrust_section,hathitrust_url,hathitrust_page_range,text_identifier
I,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,196-197,Station I.
Ia,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,197-200,Stations IA. to IC.
Ib,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,197-200,Stations IA. to IC.
Ic,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,197-200,Stations IA. to IC.
Id,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,200,Station ID.
II,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,200-206,Stations II. and IIA.
II a,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,200-206,Stations II. and IIA.
II b,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II c,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II d,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II e,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II f,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II g,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II h,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,206-207,Stations IIB. to IIH.
II j,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,207,Stations IIJ. and IIK.
II k,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,207,Stations IIJ. and IIK.
III,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,207-208,Station III.
IV,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,208-210,Station IV.
V,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,210-212,Station V.
V a,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,212,Station VA.
VI,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,212-213,Station VI.
VII,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,213-214,Station VII.
VII a,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214,Station VIIA.
VII b,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.
VII c,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.
VII d,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.
VII e,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.
VII f,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,214-215,Stations VIIB. to VIIF.
VII g,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Stations VIIG. to VIIJ
VII h,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Stations VIIG. to VIIJ
VII j,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Stations VIIG. to VIIJ
VII k,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216,Station VIIK.
VII l,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII m,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII n,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII o,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII p,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII q,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII r,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII s,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,216-223,Stations VIII. to VIIS.
VII t,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224,Stations VIIT. to VIIV.
VII u,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224,Stations VIIT. to VIIV.
VII v,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224,Stations VIIT. to VIIV.
VIII,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,224-229,Stations VIII.
1,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,229-232,Station 1
2,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,232-238,Station 2
3,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,239-241,Station 3
